no,type,dims_in,material,block,house,room,street,level_ft,field_no,pdf_page,area,level_dk_ft,phase_estimate
360,B,1.0x0.95x0.26,Steatite,9,X,80,,-11.6,DK 12897,56,DK,-11.6,Intermediate I
361,B,0.95x0.95x0.25,Steatite,9,XI,70,,-11.5,DK 12877,56,DK,-11.5,Intermediate I
362,B,1.05x1.05x0.3,Steatite,,,,Bet. Bls. 6 & 8,-11.6,DK 7924,56,DK,-11.6,Intermediate I
363,B,0.89x0.94x0.27,Steatite,12,I,46,,-11.6,DK 6530,56,DK,-11.6,Intermediate I
364,B,1.02x1.02x0.26,Steatite,,,,Bet. Bls. 1 (V) & 10,-11.7,DK 5890,56,DK,-11.7,Intermediate I
365,B,1.01x0.95x0.27,Steatite,7,I,3,,-11.8,DK 5785,56,DK,-11.8,Intermediate I
366,B,1.32x?x0.27,Steatite,9,XI,70,,-11.4,DK 12878,56,DK,-11.4,Late III
367,B,1.75x1.75x0.5,Steatite,4,,15,,-11.8,DK 5393,56,DK,-11.8,Intermediate I
368,B,0.96x?x0.29,Steatite,10,II,22,,-11.6,DK 6317,56,DK,-11.6,Intermediate I
369,F,0.77x0.3x0.25,Steatite,3,VI,47,,-11.8,DK 3743,56,DK,-11.8,Intermediate I
370,B,0.86x0.86x0.29,Steatite,9,VII,48,,-11.7,DK 5791,56,DK,-11.7,Intermediate I
371,B,0.79x0.79x0.28,Steatite,,,,First St. (35),-11.7,DK 10924,56,DK,-11.7,Intermediate I
372,?,1.25x0.62x0.4,Steatite,,VIII,,Bet. Bls. 7 & 9,-11.9,DK 8141,57,DK,-11.9,Intermediate I
373,B,1.0x0.99x0.3,Steatite,9,XI,72,,-12.5,DK 12908,57,DK,-12.5,Intermediate I
374,-,Sealing,Faience,9,VII,17,,-10.1,DK 5837,57,DK,-10.1,Late III
375,B,0.8x0.8x0.25,Steatite,9,VI,36,,-11.8,DK 8227,57,DK,-11.8,Intermediate I
376,A,0.86x0.5,Calcite,3,VI,32,,-11.8,DK 3599,57,DK,-11.8,Intermediate I
377,C,0.82x0.78x0.22,Steatite,7,III,40,,-11.9,DK 8143,57,DK,-11.9,Intermediate I
378,B,0.9x0.95x0.34,Steatite,7,III,52,,-11.9,DK 5847,57,DK,-11.9,Intermediate I
378A,D,1.31x0.65x0.4,Steatite,21,II,7,,-4.4,DK 10355,57,DK,-4.4,Late I
378B,B,1.3x1.2x0.55,Steatite,9,IV,6,,-8.4,DK 8186,57,DK,-8.4,Late II
378C,B,1.3x1.2x0.55,Steatite,9,IV,6,,-8.4,DK 8186,57,DK,-8.4,Late II
378D,A,0.86x0.5,Calcite,3,VI,32,,-11.8,DK 3599,57,DK,-11.8,Intermediate I
379,B,0.68x0.68x0.21,Steatite,7,I,13,,-12.0,DK 5677,57,DK,-12.0,Intermediate I
380,B,0.9x0.91x0.25,Steatite,,,,Bet. Bls. 12 & 12A,-12.0,DK 5332,57,DK,-12.0,Intermediate I
381,B,1.02x1.05x0.29,Steatite,10,I,2,,-12.0,DK 5669,57,DK,-12.0,Intermediate I
382,B,0.78x0.78x0.22,Steatite,7,V,66,,-12.1,DK 8013,57,DK,-12.1,Intermediate I
383,E,0.7x0.7x0.11,Faience,,,,First St. (14),-12.1,DK 3810,57,DK,-12.1,Intermediate I
384,B,1.17x0.69x0.45,Steatite,10,IV,71,,-12.2,DK 5619,57,DK,-12.2,Intermediate I
385,B,1.20x?x0.28,Steatite,,III,,Bet. Bls. 7 & 9,-12.2,DK 8327,57,DK,-12.2,Intermediate I
386,B,0.98x0.66x0.29,Steatite,9,VI,78,,-12.2,DK 7569,57,DK,-12.2,Intermediate I
387,F,0.95x0.5x0.38,Steatite,10,IV,70,,-12.2,DK 6091,57,DK,-12.2,Intermediate I
388,F,1.0x0.59x0.55,Steatite,10,III,62,,-12.2,DK 5639,57,DK,-12.2,Intermediate I
389,B,0.72x0.72x0.25,Steatite,10,IV,87,,-12.2,DK 6340,57,DK,-12.2,Intermediate I
390,B,1.03x1.03x0.35,Steatite,12,V,96,,-12.3,DK 6837,57,DK,-12.3,Intermediate I
391,F,1.1x0.6x0.4,Steatite,,,,Bet. Bls. 10A & 11,-12.3,DK 6080,57,DK,-12.3,Intermediate I
392,F,1.3x0.48x0.35,Steatite,,,,Bet. Bls. 2 & 3,-12.3,DK 4471,57,DK,-12.3,Intermediate I
393,B,1.1x1.1x0.22,Steatite,12,I,1,,-12.3,DK 8480,57,DK,-12.3,Intermediate I
394,?,1.6x?x?,Steatite,10,IV,70,,-12.4,DK 5941,57,DK,-12.4,Intermediate I
395,F,1.14x0.44x0.37,Steatite,,I,,Lane east of Bl. 1,-12.4,DK 7242,57,DK,-12.4,Intermediate I
396,B,1.66x1.63x0.5,Steatite,1,III,2,,-12.4,DK 5250,57,DK,-12.4,Intermediate I
397,F,1.0x0.48x0.29,Steatite,,,,Bet. Bls. 4 & 5,-12.4,DK 4178,57,DK,-12.4,Intermediate I
398,B,1.53x1.52x0.38,Steatite,1,III,1,,-12.4,DK 6599,57,DK,-12.4,Intermediate I
399,B,1.09x1.05x0.3,Steatite,9,VII,17,,-12.4,DK 5678,57,DK,-12.4,Intermediate I
400,?,1.6,Steatite,10,IV,70,,-12.4,DK 5941,57,DK,-12.4,Intermediate I
401,B,0.85x0.8x0.2,Steatite,9,IV,6,,-12.4,DK 8249,58,DK,-12.4,Intermediate I
402,B,0.92x0.92x0.26,Steatite,,,,Alley west of Bl. 1,-12.4,DK 6713,58,DK,-12.4,Intermediate I
403,B,0.96x0.96x0.25,Steatite,3,III,36,,-12.4,DK 3818,58,DK,-12.4,Intermediate I
404,B,0.8x0.58x0.25,Steatite,7,VII,57,,-12.4,DK 7571,58,DK,-12.4,Intermediate I
405,C,1.05x1.05x0.45,Steatite,6,I,1,,-12.4,DK 4161,58,DK,-12.4,Intermediate I
406,B,1.35x1.35x0.35,Steatite,7,V,78,,-12.5,DK 7925,58,DK,-12.5,Intermediate I
407,B,0.95x0.93x0.29,Steatite,,,,Bet. Bls. 1 & 10 (I),-12.5,DK 6422,58,DK,-12.5,Intermediate I
408,B,0.8x0.8x0.28,Steatite,,II,,West of Bl. 1,-12.2,DK 8450,58,DK,-12.2,Intermediate I
409,B,0.65x0.64x0.2,Steatite,8,II,23,,-12.5,DK 8877,58,DK,-12.5,Intermediate I
410,B,0.77x0.77x0.25,Steatite,7,V,66,,-12.5,DK 8028,58,DK,-12.5,Intermediate I
411,B,1.2x1.2x0.3,Steatite,1,VI,52,,-12.6,DK 5307,58,DK,-12.6,Intermediate I
412,B,1.47x0.62x0.4,Steatite,1,VII,35,,-16.8,DK 5323,58,DK,-16.8,Intermediate II
413,B,0.95x0.95x0.3,Steatite,1,I,21,,-12.7,DK 6093,58,DK,-12.7,Intermediate I
414,D,1.09x0.62x0.35,Steatite,1,I,16,,-12.7,DK 6901,58,DK,-12.7,Intermediate I
415,B,0.79x0.79x0.22,Steatite,,,,Bet. Bls. 1 & 10 (I),-12.7,DK 6596,58,DK,-12.7,Intermediate I
416,B,1.5x0.75x0.47,Steatite,,I,,Lane east of Bl. 1,-12.7,DK 7257,58,DK,-12.7,Intermediate I
417,B,1.22x1.22x0.3,Steatite,3,VI,39,,-12.8,DK 3790,58,DK,-12.8,Intermediate I
418,B,0.82x0.81x0.2,Steatite,1,VII,38,,-12.8,DK 5651,58,DK,-12.8,Intermediate I
419,B,0.82x0.81x0.26,Steatite,1,III,1,,-12.8,DK 5787,58,DK,-12.8,Intermediate I
420,B,1.4x1.39x0.3,Steatite,1,II,7,,-12.8,DK 5175,58,DK,-12.8,Intermediate I
421,B,1.2x1.15x0.35,Steatite,1,VI,56,,-12.8,DK 5494,58,DK,-12.8,Intermediate I
422,B,2.3x2.3x0.65,Steatite,1,I,18,,-12.8,DK 5419,58,DK,-12.8,Intermediate I
423,B,0.86x0.85x0.3,Steatite,8,III,37,,-12.9,DK 5717,58,DK,-12.9,Intermediate I
424,B,1.01x1.0x0.29,Steatite,10,II,20,,-12.9,DK 7062,58,DK,-12.9,Intermediate I
425,B,1.08x0.7x0.31,Steatite,7,V,54,,-12.9,DK 5697,58,DK,-12.9,Intermediate I
426,B,1.11x1.1x0.34,Steatite,1,III,1,,-12.9,DK 5821,58,DK,-12.9,Intermediate I
427,B,1.06x1.06x0.32,Steatite,,III,,Bet. Bls. 7 & 9,-12.9,DK 8359,58,DK,-12.9,Intermediate I
428,F,1.03x0.5x0.3,Steatite,,,,Bet. Bls. 1 (V) & 10,-13.0,DK 5820,58,DK,-13.0,Intermediate I
429,B,0.98x0.94x0.3,Steatite,9,VII,17,,-12.0,DK 6380,58,DK,-12.0,Intermediate I
430,B,1.6x1.55x0.33,Steatite,,,,Bet. Bls. 1 (IV) & 10,-14.9,DK 6847,58,DK,-14.9,Intermediate II
431,B,1.97x1.33x0.52,Steatite,9,VIII,18,,-13.0,DK 8378,58,DK,-13.0,Intermediate I
432,B,1.34x0.8x0.39,Steatite,,III,,Bet. Bls. 9 & 10,-13.0,DK 6624,58,DK,-13.0,Intermediate I
433,B,0.88x0.87x0.28,Steatite,,,,Alley west of Bl. 1,-13.0,DK 5859,58,DK,-13.0,Intermediate I
434,-,2.55x0.2,Ivory,7,II,29,,-13.0,DK 5081,59,DK,-13.0,Intermediate I
435,B,0.98x0.99x0.28,Steatite,7,VIII,22,,-13.0,DK 6229,59,DK,-13.0,Intermediate I
436,B,1.72x1.67x0.49,Steatite,7,I,15,,-13.1,DK 6791,59,DK,-13.1,Intermediate I
437,-,3.9,Ivory,1,II,9,,-13.1,DK 5672,59,DK,-13.1,Intermediate I
438,B,1.3x1.3x0.3,Steatite,5,I,2,,-13.2,DK 3980,59,DK,-13.2,Intermediate I
439,F,1.0x0.45x0.35,Steatite,7,IX,32,,-13.2,DK 8202,59,DK,-13.2,Intermediate I
440,B,1.25x1.25x0.35,Steatite,8,I,8,,-13.2,DK 8841,59,DK,-13.2,Intermediate I
441,B,1.28x1.25x0.35,Steatite,,VIII,,Bet. Bls. 7 and 9,-13.2,DK 8159,59,DK,-13.2,Intermediate I
442,B,1.0x0.97x0.3,Steatite,9,VII,51,,-13.2,DK 5900,59,DK,-13.2,Intermediate I
443,B,0.87x0.86x0.26,Steatite,3,VI,31,,-13.2,DK 4137,59,DK,-13.2,Intermediate I
444,B,0.61x0.61x0.2,Steatite,9,II,11,,-13.2,DK 8346,59,DK,-13.2,Intermediate I
445,B,0.85x0.85x0.29,Steatite,,I,19,,-13.3,DK 6390,59,DK,-13.3,Intermediate I
446,B,1.25x1.15x0.3,Steatite,,,,Bet. Bls. 10 & 12,-13.3,DK 6357,59,DK,-13.3,Intermediate I
447,B,0.87x0.87x0.27,Steatite,7,I,15,,-13.3,DK 6792,59,DK,-13.3,Intermediate I
448,B,?x?x0.31,Steatite,9,III,35,,-13.3,DK 8643,59,DK,-13.3,Intermediate I
449,C,0.65x0.65x0.3,Steatite,7,V,78,,-13.4,DK 7941,59,DK,-13.4,Intermediate I
450,B,0.95x0.94x0.34,Steatite,1,I,21,,-13.4,DK 6658,59,DK,-13.4,Intermediate I
451,B,1.08x1.02x0.32,Steatite,,,,Bet. Bls. 12 & 12A,-13.4,DK 5341,59,DK,-13.4,Intermediate I
452,B,0.68x0.69x0.2,Steatite,12,V,91,,-13.4,DK 5539,59,DK,-13.4,Intermediate I
453,B,1.2x0.84x0.35,Steatite,,I,,Lane east of Bl. 1,-13.4,DK 6664,59,DK,-13.4,Intermediate I
454,B,0.5x0.5x0.16,Steatite,10,IV,86,,-13.4,DK 7342,59,DK,-13.4,Intermediate I
455,B,1.34x1.34x0.37,Steatite,,II,,Alley west of Bl. 1,-13.5,DK 6127,59,DK,-13.5,Intermediate I
